Year,Player,Age,Hometown,Home State,Tm,Height (inches),Weight,College,Conference,College wins,College losses,DOB,Draft Round,Draft Year
2006,Rex Grossman,26,Bloomington,IN,CHI,73,0,Florida,SEC,139,55,8/23/1980,1,2003
2001,Anthony Thomas,24,Pineville,LA,CHI,74,228,Michigan,Big Ten,124,64,11/7/1977,2,2001
2000,Tyrone Wheatley,28,Inkster,MI,OAK,73,235,Michigan,Big Ten,124,64,1/19/1972,1,1995
2000,Tim Brown,34,Dallas,TX,OAK,73,195,Notre Dame,Independent,112,74,7/22/1966,1,1988
2011,Reggie Bush,26,Spring Valley,CA,MIA,73,200,USC,Pac 12,129,49,3/2/1985,1,2006
2004,Thomas Jones,26,Big Stone Gap,VA,CHI,70,220,Virginia,ACC,90,95,8/19/1978,1,2000
2006,Donald Driver,31,Houston,TX,GNB,73,188,Alcorn St.,SWAC,#N/A,#N/A,2/2/1975,7,1999
1999,Michael Westbrook,27,Detroit,MI,WAS,75,220,Colorado,Pac 12,78,108,7/7/1972,1,1995
2011,Percy Harvin,23,Chesapeake,VA,MIN,12,200,Florida,SEC,139,55,5/28/1988,1,2009
2013,Jordy Nelson,28,Manhattan,KS,GNB,75,215,Kansas St.,Big 12,118,71,5/31/1985,2,2008
1999,Tyrone Wheatley,27,Inkster,MI,OAK,73,235,Michigan,Big Ten,124,64,1/19/1972,1,1995
2003,Derrick Mason,29,Detroit,MI,TEN,70,190,Michigan St.,Big Ten,112,76,1/17/1974,4,1997
2002,Plaxico Burress,25,Norfolk,VA,PIT,77,226,Michigan St.,Big Ten,112,76,8/12/1977,1,2000
2006,Ahman Green,29,Omaha,NE,GNB,73,217,Nebraska,Big Ten,134,61,2/16/1977,3,1998
2006,Torry Holt,30,Greensboro,NC,STL,73,190,North Carolina St.,ACC,98,88,6/5/1976,1,1999
2002,Marcel Shipp,24,Paterson,NJ,ARI,71,230,Passaic Co. Tech,#N/A,#N/A,#N/A,8/8/1978,0,0
2009,Sidney Rice,23,Gaffney,SC,MIN,76,200,South Carolina,SEC,110,76,9/1/1986,2,2007
2006,Jamal Lewis,27,Atlanta,GA,BAL,71,240,Tennessee,SEC,113,75,8/29/1979,1,2000
2010,Cedric Benson,28,Midland,TX,CIN,71,222,Texas,Big 12,149,45,12/28/1982,1,2005
2000,Jamal Anderson,28,Woodland Hills,CA,ATL,71,237,Utah,Pac 12,123,61,9/30/1972,0,1994
2011,Roddy White,30,James Island,SC,ATL,73,201,Ala-Birmingham,Conference USA,#N/A,#N/A,11/2/1981,1,2005
2007,Marshawn Lynch,21,Oakland,CA,BUF,12,215,California,Pac 12,90,94,4/22/1986,1,2007
2001,Torry Holt,25,Greensboro,NC,STL,73,190,North Carolina St.,ACC,98,88,6/5/1976,1,1999
2002,Peerless Price,26,Dayton,OH,BUF,71,190,Tennessee,SEC,113,75,10/27/1976,2,1999
2012,Roddy White,31,James Island,SC,ATL,73,201,Ala-Birmingham,Conference USA,#N/A,#N/A,7/19/1900,1,2005
2004,Donald Driver,29,Houston,TX,GNB,73,188,Alcorn St.,SWAC,#N/A,#N/A,2/2/1975,7,0
2008,Anquan Boldin,28,Pahokee,FL,ARI,73,218,Florida St.,ACC,130,54,10/3/1980,2,2003
2003,Santana Moss,24,Miami,FL,NYJ,70,185,Miami (FL),ACC,130,58,6/1/1979,1,2001
2003,Marshall Faulk,30,New Orleans,LA,STL,70,211,San Diego St.,Mountain West,77,104,2/26/1973,1,1994
2012,Matt Forte,27,Lake Charles,LA,CHI,73,221,Tulane,American,60,119,8/8/1900,2,2008
2006,Reggie Bush,21,Spring Valley,CA,NOR,73,200,USC,Pac 12,129,49,3/2/1985,1,2006
2006,Steve Smith,27,Los Angeles,CA,CAR,69,185,Utah,Pac 12,123,61,5/12/1979,3,2001
2006,Lee Evans,25,Bedford,OH,BUF,70,202,Wisconsin,Big Ten,135,60,3/11/1981,1,2004
2009,Brandon Marshall,25,Pittsburgh,PA,DEN,76,229,Central Florida,American,99,86,3/23/1984,4,2006
2012,Chris Johnson,27,Orlando,FL,TEN,71,195,East Carolina,American,97,90,7/13/1900,1,2008
1999,Olandis Gary,24,Washington,DC,DEN,71,218,Marshall,Conference USA,107,80,5/18/1975,4,0
2010,Donovan McNabb,34,Chicago,IL,WAS,74,0,Syracuse,ACC,81,101,11/25/1976,1,1999
2003,Tommy Maddox,32,Shreveport,LA,PIT,76,0,UCLA,Pac 12,100,88,9/2/1971,1,1992
2006,Fred Taylor,30,Pahokee,FL,JAX,73,234,Florida,SEC,139,55,1/27/1976,1,1998
2004,Fred Taylor,28,Pahokee,FL,JAX,73,234,Florida,SEC,139,55,1/27/1976,1,1998
2006,Javon Walker,28,Galveston,TX,DEN,75,220,Florida St.,ACC,130,54,10/14/1978,1,2002
2002,Joe Horn,30,New Haven,CT,NOR,73,206,Itawamba JC,Junior College,#N/A,#N/A,1/16/1972,5,1996
2009,Vernon Davis,25,Washington,DC,SFO,75,250,Maryland,Big Ten,98,86,1/31/1984,1,2006
2013,Frank Gore,30,Coral Gables,FL,SFO,69,215,Miami (FL),ACC,130,58,5/14/1983,3,2005
2002,Brian Griese,27,Miami,FL,DEN,75,215,Michigan,Big Ten,124,64,3/18/1975,3,1998
1999,Brian Griese,24,Miami,FL,DEN,75,215,Michigan,Big Ten,124,64,3/18/1975,3,1998
2007,Plaxico Burress,30,Norfolk,VA,NYG,77,226,Michigan St.,Big Ten,112,76,8/12/1977,1,2000
2003,Kevan Barlow,24,Pittsburgh,PA,SFO,73,238,Pittsburgh,ACC,106,80,1/7/1979,3,2001
2000,Tony Gonzalez,24,Torrance,CA,KAN,77,251,California,Pac 12,90,94,2/27/1976,1,1997
2008,Kevin Smith,22,Miami,FL,DET,73,210,Central Florida,American,99,86,12/17/1986,3,2008
2011,Fred Jackson,30,Fort Worth,TX,BUF,73,215,Coe College,Division III,#N/A,#N/A,2/20/1981,0,0
2004,Antonio Gates,24,Detroit,MI,SDG,76,260,Kent St.,MAC,66,111,6/18/1980,0,0
2006,Edgerrin James,28,Immokalee,FL,ARI,73,214,Miami (FL),ACC,130,58,8/1/1978,1,1999
2012,Colin Kaepernick,25,Milwaukee,WI,SFO,76,0,Nevada-Reno,Mountain West,93,93,1/0/1900,2,2011
2001,Tim Brown,35,Dallas,TX,OAK,73,195,Notre Dame,Independent,112,74,7/22/1966,1,1988
2006,Alex Smith,22,Seattle,WA,SFO,76,0,Utah,Pac 12,123,61,5/7/1984,1,2005
2006,Corey Dillon,32,Seattle,WA,NWE,73,225,Washington,Pac 12,86,98,10/24/1974,2,1997
2002,Antowain Smith,30,Millbrook,AL,NWE,74,232,Houston,American,98,88,3/14/1972,1,1997
2005,Willis McGahee,24,Miami,FL,BUF,73,228,Miami (FL),ACC,130,58,10/21/1981,1,2003
1999,Muhsin Muhammad,26,Lansing,MI,CAR,74,217,Michigan St.,Big Ten,112,76,5/5/1973,2,1996
2011,Mike Wallace,25,New Orleans,LA,PIT,73,180,Mississippi,SEC,92,91,8/1/1986,3,2009
1999,Mike Alstott,26,Joliet,IL,TAM,73,248,Purdue,Big Ten,92,94,12/21/1973,2,1996
2006,Travis Henry,28,Frostproof,FL,TEN,69,215,Tennessee,SEC,113,75,10/29/1978,2,2001
2006,Roy Williams,25,Odessa,TX,DET,76,210,Texas,Big 12,149,45,12/20/1981,1,2004
2011,Matt Forte,26,Lake Charles,LA,CHI,73,221,Tulane,American,60,119,12/10/1985,2,2008
2005,Aaron Brooks,29,Newport News,VA,NOR,76,0,Virginia,ACC,90,95,3/24/1976,4,1999
2003,Jake Plummer,29,Boise,ID,DEN,74,0,Arizona St.,Pac 12,101,86,12/19/1974,2,1997
2009,Fred Jackson,28,Fort Worth,TX,BUF,73,215,Coe College,Division III,#N/A,#N/A,2/20/1981,0,0
2001,Chris Weinke,29,St. Paul,MN,CAR,76,232,Florida St.,ACC,130,54,7/31/1972,4,2001
2005,David Carr,26,Bakersfield,CA,HOU,75,0,Fresno St.,Mountain West,121,74,7/21/1979,1,2002
2009,Dallas Clark,30,Livermore,IA,IND,75,257,Iowa,Big Ten,108,79,6/12/1979,1,2003
2004,Chad Pennington,28,Knoxville,TN,NYJ,75,225,Marshall,Conference USA,107,80,6/26/1976,1,2000
2010,Reggie Wayne,32,New Orleans,LA,IND,73,198,Miami (FL),ACC,130,58,11/17/1978,1,2001
2013,Le'Veon Bell,21,0,,PIT,74,230,Michigan St.,Big Ten,112,76,1/0/1900,2,2013
2005,Willie Parker,25,Clinton,NC,PIT,70,209,North Carolina,ACC,70,97,11/11/1980,0,0
2009,Vincent Jackson,26,Fort Polk,LA,SDG,77,241,Northern Colorado,Big Sky,#N/A,#N/A,1/14/1983,2,0
2005,Reuben Droughns,27,Chicago,IL,CLE,71,207,Oregon,Pac 12,143,47,8/21/1978,3,2000
2009,Cedric Benson,27,Midland,TX,CIN,71,222,Texas,Big 12,149,45,12/28/1982,1,2005
2005,Gus Frerotte,34,Kittanning,PA,MIA,75,0,Tulsa,American,96,93,7/31/1971,7,1994
2007,Maurice Jones-Drew,22,Pinole,CA,JAX,68,205,UCLA,Pac 12,100,88,3/23/1985,2,2006
2002,Tommy Maddox,31,Shreveport,LA,PIT,76,220,UCLA,Pac 12,100,88,9/2/1971,1,1992
2012,Reggie Bush,27,Spring Valley,CA,MIA,73,200,USC,Pac 12,129,49,7/18/1900,1,2006
2006,Thomas Jones,28,Big Stone Gap,VA,CHI,70,220,Virginia,ACC,90,95,8/19/1978,1,2000
2011,Chris Johnson,26,Orlando,FL,TEN,12,195,East Carolina,American,97,90,9/23/1985,1,2008
2012,Marques Colston,29,Harrisburg,PA,NOR,76,225,Hofstra,Colonial Athletic Association,#N/A,#N/A,8/12/1900,7,0
2013,Andre Johnson,32,Miami,FL,HOU,75,219,Miami (FL),ACC,130,58,7/11/1981,1,2003
2010,Andre Johnson,29,Miami,FL,HOU,75,219,Miami (FL),ACC,130,58,7/11/1981,1,2003
2004,Ben Roethlisberger,22,Findlay,OH,PIT,77,240,Miami (OH),MAC,84,99,3/2/1982,1,2004
2010,Hakeem Nicks,22,Charlotte,NC,NYG,73,210,North Carolina,ACC,70,97,1/14/1988,1,2009
1999,Tim Brown,33,Dallas,TX,OAK,73,195,Notre Dame,Independent,112,74,7/22/1966,1,1988
2002,James Stewart,31,Morristown,TN,DET,73,224,Tennessee,SEC,113,75,12/27/1971,1,1995
2012,Wes Welker,31,Oklahoma City,OK,NWE,69,190,Texas Tech,Big 12,120,70,7/8/1900,0,0
2011,Tarvaris Jackson,28,Mongtomery,AL,SEA,74,226,Arkansas,SEC,107,80,4/21/1983,2,2006
2009,Knowshon Moreno,22,Belford,NJ,DEN,70,215,Georgia,SEC,142,53,7/16/1987,1,2009
2005,Antonio Gates,25,Detroit,MI,SDG,76,260,Kent St.,MAC,66,111,6/18/1980,0,0
2005,Ben Roethlisberger,23,Findlay,OH,PIT,77,0,Miami (OH),MAC,84,99,3/2/1982,1,2004
2013,Eli Manning,32,New Orleans,LA,NYG,76,218,Mississippi,SEC,92,91,1/3/1981,1,2004
2011,Vincent Jackson,28,Fort Polk,LA,SDG,77,241,Northern Colorado,Big Sky,#N/A,#N/A,1/14/1983,2,0
2011,Beanie Wells,23,Akron,OH,ARI,73,235,Ohio St.,Big Ten,138,41,8/7/1988,1,2009
1999,Troy Aikman,33,West Covina,CA,DAL,76,219,Oklahoma,Big 12,160,39,11/21/1966,1,0
2009,Matt Cassel,27,Northridge,CA,KAN,77,0,USC,Pac 12,129,49,5/17/1982,7,2005
2001,Tiki Barber,26,Roanoke,VA,NYG,70,200,Virginia,ACC,90,95,4/7/1975,2,1997
2008,Le'Ron McClain,24,Fort Wayne,IN,BAL,73,260,Alabama,SEC,114,58,12/27/1984,4,2007
2013,Aaron Rodgers,30,Chico,CA,GNB,74,223,California,Pac 12,90,94,12/2/1983,1,2005
2013,Alfred Morris,25,Pensacola,FL,WAS,69,219,Florida Atlantic,Conference USA,50,71,12/12/1988,6,2012
2000,Jimmy Smith,31,Detroit,MI,JAX,73,213,Jackson St.,SWAC,#N/A,#N/A,2/9/1969,0,1992
2012,Victor Cruz,26,Patterson,NJ,NYG,73,204,Massachusetts,MAC,#N/A,#N/A,7/22/1900,0,0
2001,Derrick Mason,27,Detroit,MI,TEN,70,190,Michigan St.,Big Ten,112,76,1/17/1974,4,1997
2008,Antonio Bryant,27,Miami,FL,TAM,73,192,Pittsburgh,ACC,106,80,3/9/1981,2,2002
2003,Curtis Martin,30,Pittsburgh,PA,NYJ,71,210,Pittsburgh,ACC,106,80,5/1/1973,3,1995
2008,Terrell Owens,35,Alexander City,AL,DAL,75,226,Tenn-Chattanooga,Southern,#N/A,#N/A,12/7/1973,3,0
2007,Wes Welker,26,Oklahoma City,OK,NWE,69,190,Texas Tech,Big 12,120,70,5/1/1981,0,0
2008,LenDale White,24,Denver,CO,TEN,74,240,USC,Pac 12,129,49,12/20/1984,2,2006
2013,Jay Cutler,30,Santa Claus,IN,CHI,75,225,Vanderbilt,SEC,65,114,4/29/1983,1,2006
2006,Kevin Jones,24,Chester,PA,DET,73,228,Virginia Tech,ACC,147,50,8/21/1982,1,2004
2005,Corey Dillon,31,Seattle,WA,NWE,73,225,Washington,Pac 12,86,98,10/24/1974,2,1997
2004,Drew Bledsoe,32,Ellensburg,WA,BUF,77,238,Washington St.,Pac 12,75,106,2/14/1972,1,1993
2004,Tony Gonzalez,28,Torrance,CA,KAN,77,251,California,Pac 12,90,94,2/27/1976,1,1997
2003,Darrell Jackson,25,Dayton,OH,SEA,73,201,Florida,SEC,139,55,12/6/1978,3,2000
2001,Lamar Smith,31,Fort Wayne,IN,MIA,71,230,Houston,American,98,88,11/29/1970,3,1994
2004,Brandon Stokley,28,Blacksburg,VA,IND,71,197,La-Lafayette,Sun Belt,74,104,6/23/1976,4,0
2001,Tom Brady,24,San Mateo,CA,NWE,76,225,Michigan,Big Ten,124,64,8/3/1977,6,2000
2001,Jerry Rice,39,Crawford,MS,OAK,74,200,Miss. Valley St.,SWAC,#N/A,#N/A,10/13/1962,1,0
2002,Donald Driver,27,Houston,TX,GNB,73,188,Alcorn St.,SWAC,#N/A,#N/A,2/2/1975,7,1999
2009,Matt Hasselbeck,34,Westwood,MA,SEA,76,0,Boston Col.,ACC,116,74,9/25/1975,6,1998
2013,Ryan Fitzpatrick,31,Gilbert,AZ,TEN,74,221,Harvard,Ivy,#N/A,#N/A,11/24/1982,7,2005
2012,Shonn Greene,27,Sicklerville,NJ,NYJ,70,235,Iowa,Big Ten,108,79,8/22/1900,3,2009
2010,Steve Johnson,24,San Francisco,CA,BUF,74,210,Kentucky,SEC,71,110,11/28/1986,7,2008
1999,Tim Couch,22,Hyden,KY,CLE,76,220,Kentucky,SEC,71,110,7/31/1977,1,1999
2005,Domanick Williams,25,Lafayette,LA,HOU,69,216,LSU,SEC,146,48,10/1/1980,4,2003
2008,Randy Moss,31,Rand,WV,NWE,76,215,Marshall,Conference USA,107,80,2/13/1977,1,1998
2000,Amani Toomer,26,Berkeley,CA,NYG,75,208,Michigan,Big Ten,124,64,9/8/1974,0,1996
1999,Jerome Bettis,27,Detroit,MI,PIT,71,252,Notre Dame,Independent,112,74,2/16/1972,1,1993
2007,Steven Jackson,24,Las Vegas,NV,STL,75,229,Oregon St.,Pac 12,111,76,7/22/1983,1,2004
2008,Jeff Garcia,38,Gilroy,CA,TAM,73,0,San Jose St.,Mountain West,72,107,2/24/1970,0,0
2005,Brian Westbrook,26,Washington,DC,PHI,68,200,Villanova,Big East,#N/A,#N/A,9/2/1979,3,2002
2004,Kevin Jones,22,Chester,PA,DET,73,228,Virginia Tech,ACC,147,50,8/21/1982,1,2004
2008,Tony Gonzalez,32,Torrance,CA,KAN,77,251,California,Pac 12,90,94,2/27/1976,1,1997
2000,Michael Pittman,25,New Orleans,LA,ARI,73,218,Fresno St.,Mountain West,121,74,8/14/1975,0,1998
2012,Brandon Weeden,29,Oklahoma City,OK,CLE,76,0,Oklahoma St.,Big 12,113,73,1/0/1900,1,2012
2009,Matt Forte,24,Lake Charles,LA,CHI,73,221,Tulane,American,60,119,12/10/1985,2,2008
2001,Curtis Conway,30,Los Angeles,CA,SDG,73,196,USC,Pac 12,129,49,1/13/1971,1,1993
1999,Keyshawn Johnson,27,Los Angeles,CA,NYJ,76,212,USC,Pac 12,129,49,7/22/1972,1,1996
2005,Hines Ward,29,Forest Park,GA,PIT,73,205,Georgia,SEC,142,53,3/8/1976,3,1998
2004,Isaac Bruce,32,Fort Lauderdale,FL,STL,73,188,Memphis,American,68,112,11/10/1972,2,1994
2002,Jerry Rice,40,Crawford,MS,OAK,74,200,Miss. Valley St.,SWAC,#N/A,#N/A,10/13/1962,1,1985
2000,Eric Moulds,27,Lucedale,MS,BUF,74,210,Mississippi St.,SEC,83,99,7/17/1973,1,1996
2013,Pierre Garcon,27,West Palm Beach,FL,WAS,73,210,Mount Union,Ohio Athletic Conference,#N/A,#N/A,8/8/1986,6,2008
2013,Giovani Bernard,22,0,,CIN,69,202,North Carolina,ACC,70,97,1/0/1900,2,2013
2012,Michael Crabtree,25,Dallas,TX,SFO,74,215,Texas Tech,Big 12,120,70,8/2/1900,1,2009
2003,Keenan McCardell,33,Houston,TX,TAM,73,191,UNLV,Mountain West,57,123,1/6/1970,12,1991
2003,Chris Chambers,25,Cleveland,OH,MIA,71,210,Wisconsin,Big Ten,135,60,8/12/1978,2,2001
2003,Rudi Johnson,24,Ettrick,VA,CIN,70,220,Auburn,SEC,130,61,10/1/1979,4,2001
2004,Darrell Jackson,26,Dayton,OH,SEA,73,201,Florida,SEC,139,55,12/6/1978,3,2000
2006,David Carr,27,Bakersfield,CA,HOU,75,0,Fresno St.,Mountain West,121,74,7/21/1979,1,2002
2009,Antonio Gates,29,Detroit,MI,SDG,76,260,Kent St.,MAC,66,111,6/18/1980,0,0
2004,Michael Clayton,22,Baton Rouge,LA,TAM,76,197,LSU,SEC,146,48,10/13/1982,1,2004
2013,Vincent Jackson,30,Fort Polk,LA,TAM,77,241,Northern Colorado,Big Sky,#N/A,#N/A,1/14/1983,2,2005
2004,Nick Goings,26,Columbus,OH,CAR,73,225,Ohio St.,Big Ten,138,41,1/26/1978,0,0
2011,Matt Moore,27,Van Nuys,CA,MIA,75,192,Oregon St.,Pac 12,111,76,8/9/1984,0,0
2008,Trent Edwards,25,Los Gatos,CA,BUF,76,0,Stanford,Pac 12,101,81,10/30/1983,3,2007
2001,Kevin Johnson,25,Trenton,NJ,CLE,71,195,Syracuse,ACC,81,101,7/15/1976,2,1999
2010,LaDainian Tomlinson,31,Rosebud,TX,NYJ,70,221,TCU,Big 12,138,49,6/23/1979,1,2001
2001,Stacey Mack,26,Orlando,FL,JAX,73,241,Temple,American,59,117,6/26/1975,0,0
2003,Terrell Owens,30,Alexander City,AL,SFO,75,226,Tenn-Chattanooga,Southern,#N/A,#N/A,12/7/1973,3,0
2011,Colt McCoy,25,Hobbs,NM,CLE,74,209,Texas,Big 12,149,45,9/5/1986,3,2010
2007,LenDale White,23,Denver,CO,TEN,74,240,USC,Pac 12,129,49,12/20/1984,2,2006
2009,Steve Smith,24,Los Angeles,CA,NYG,69,185,Utah,Pac 12,123,61,5/12/1979,3,2001
2013,Joique Bell,27,Benton Harbor,MI,DET,71,220,Wayne State (MI),#N/A,#N/A,#N/A,8/4/1986,0,0
2007,Greg Jennings,24,Kalamazoo,MI,GNB,12,195,West. Michigan,MAC,#N/A,#N/A,9/21/1983,2,2006
2007,Jason Campbell,26,Laurel,MS,WAS,77,223,Auburn,SEC,130,61,12/31/1981,1,2005
2010,Mike Tolbert,25,Carrollton,GA,SDG,69,243,Coastal Carolina,Big South,#N/A,#N/A,11/23/1985,0,0
2004,Emmitt Smith,35,Pensacola,FL,ARI,69,221,Florida,SEC,139,55,5/15/1969,1,1990
2010,Knowshon Moreno,23,Belford,NJ,DEN,70,215,Georgia,SEC,142,53,7/16/1987,1,2009
2008,Pierre Thomas,24,Chicago,IL,NOR,71,210,Illinois,Big Ten,73,107,12/18/1984,0,0
2011,Shonn Greene,26,Sicklerville,NJ,NYJ,12,235,Iowa,Big Ten,108,79,8/21/1985,3,2009
2012,Reggie Wayne,34,New Orleans,LA,IND,73,198,Miami (FL),ACC,130,58,7/16/1900,1,2001
2004,Brian Griese,29,Miami,FL,TAM,75,215,Michigan,Big Ten,124,64,3/18/1975,3,1998
2005,Plaxico Burress,28,Norfolk,VA,NYG,77,226,Michigan St.,Big Ten,112,76,8/12/1977,1,2000
2007,Torry Holt,31,Greensboro,NC,STL,73,190,North Carolina St.,ACC,98,88,6/5/1976,1,1999
1999,Rocket Ismail,30,Elizabeth,NJ,DAL,71,180,Notre Dame,Independent,112,74,11/18/1969,4,1991
2006,T.J. Houshmandzadeh,29,Victor Valley,CA,CIN,73,197,Oregon St.,Pac 12,111,76,9/26/1977,7,2001
2004,Carson Palmer,25,Fresno,CA,CIN,77,230,USC,Pac 12,129,49,12/27/1979,1,2003
2005,Cadillac Williams,23,Gadsden,AL,TAM,71,217,Auburn,SEC,130,61,4/21/1982,1,2005
2008,Brandon Marshall,24,Pittsburgh,PA,DEN,76,229,Central Florida,American,99,86,3/23/1984,4,2006
2002,Laveranues Coles,25,Jacksonville,FL,NYJ,71,193,Florida St.,ACC,130,54,12/29/1977,3,2000
2004,Billy Volek,28,Hemet,CA,TEN,74,214,Fresno St.,Mountain West,121,74,4/28/1976,0,0
2011,Marques Colston,28,Harrisburg,PA,NOR,76,225,Hofstra,Colonial Athletic Association,#N/A,#N/A,6/5/1983,7,0
2009,Marques Colston,26,Harrisburg,PA,NOR,76,225,Hofstra,Colonial Athletic Association,#N/A,#N/A,6/5/1983,7,0
2011,Rashard Mendenhall,24,Skokie,IL,PIT,12,210,Illinois,Big Ten,73,107,6/19/1987,1,2008
2010,Shaun Hill,30,Parsons,KS,DET,77,0,Maryland,Big Ten,98,86,1/9/1980,0,0
2009,Chad Johnson,31,Miami,FL,CIN,73,192,Miami (FL),ACC,130,58,1/9/1978,2,0
2004,Nate Burleson,23,Calgary,WA,MIN,73,192,Nevada-Reno,Mountain West,93,93,8/19/1981,3,2003
2008,Ryan Grant,26,Suffern,NY,GNB,73,218,Notre Dame,Independent,112,74,12/9/1982,0,0
2012,Steven Jackson,29,Las Vegas,NV,STL,75,229,Oregon St.,Pac 12,111,76,8/16/1900,1,2004
2012,James Jones,28,San Jose,CA,GNB,73,208,San Jose St.,Mountain West,72,107,7/26/1900,3,2007
2001,Charlie Garner,29,Fairfax,VA,OAK,70,190,Tennessee,SEC,113,75,2/13/1972,2,1994
2009,Wes Welker,28,Oklahoma City,OK,NWE,69,190,Texas Tech,Big 12,120,70,5/1/1981,0,0
2010,Mike Williams,23,Tampa,FL,TAM,77,229,USC,Pac 12,129,49,1/4/1984,1,2005
2013,Anquan Boldin,33,Pahokee,FL,SFO,73,218,Florida St.,ACC,130,54,10/3/1980,2,2003
2006,Warrick Dunn,31,Baton Rouge,LA,ATL,69,180,Florida St.,ACC,130,54,1/5/1975,1,1997
2002,Marty Booker,26,Marrero,LA,CHI,73,212,La-Monroe,Sun Belt,65,111,7/31/1976,3,1999
2001,Marty Booker,25,Marrero,LA,CHI,73,212,La-Monroe,Sun Belt,65,111,7/31/1976,3,1999
2011,Ahmad Bradshaw,25,Bluefield,VA,NYG,12,195,Marshall,Conference USA,107,80,3/19/1986,7,2007
2013,Vernon Davis,29,Washington,DC,SFO,75,250,Maryland,Big Ten,98,86,1/31/1984,1,2006
2010,Frank Gore,27,Coral Gables,FL,SFO,69,215,Miami (FL),ACC,130,58,5/14/1983,3,2005
2013,Chad Henne,28,Wyomissing,PA,JAX,75,228,Michigan,Big Ten,124,64,7/2/1985,2,2008
2010,Miles Austin,26,Summitt,NJ,DAL,75,215,Monmouth,#N/A,#N/A,#N/A,6/30/1984,0,0
2011,Hakeem Nicks,23,Charlotte,NC,NYG,73,210,North Carolina,ACC,70,97,1/14/1988,1,2009
2005,Terry Glenn,31,Columbus,OH,DAL,71,195,Ohio St.,Big Ten,138,41,7/23/1974,1,1996
2001,Mike Alstott,28,Joliet,IL,TAM,73,248,Purdue,Big Ten,92,94,12/21/1973,2,1996
1999,Jeff Garcia,29,Gilroy,CA,SFO,73,195,San Jose St.,Mountain West,72,107,2/24/1970,0,0
2007,Vince Young,24,Houston,TX,TEN,77,230,Texas,Big 12,149,45,5/18/1983,1,2006
2003,Brian Westbrook,24,Washington,DC,PHI,68,200,Villanova,Big East,#N/A,#N/A,9/2/1979,3,2002
2010,Jason Campbell,29,Laurel,MS,OAK,77,0,Auburn,SEC,130,61,12/31/1981,1,2005
2005,Chris Brown,24,Winfield,IL,TEN,75,219,Colorado,Pac 12,78,108,4/17/1981,3,2003
2003,Laveranues Coles,26,Jacksonville,FL,WAS,71,193,Florida St.,ACC,130,54,12/29/1977,3,2000
2002,David Carr,23,Bakersfield,CA,HOU,75,215,Fresno St.,Mountain West,121,74,7/21/1979,1,2002
2004,Eddie Kennison,31,Lake Charles,LA,KAN,73,201,LSU,SEC,146,48,1/20/1973,1,1996
2003,Byron Leftwich,23,Washington,DC,JAX,77,0,Marshall,Conference USA,107,80,1/14/1980,1,2003
2010,Jeremy Maclin,22,Chesterfield,MO,PHI,73,200,Missouri,SEC,109,78,5/11/1988,1,2009
2004,Rod Smith,34,Texarkana,AR,DEN,73,200,Missouri Southern,Division II,#N/A,#N/A,5/15/1970,0,0
2007,Willie Parker,27,Clinton,NC,PIT,12,209,North Carolina,ACC,70,97,11/11/1980,0,0
2002,Koren Robinson,22,Belmont,NC,SEA,73,205,North Carolina St.,ACC,98,88,3/19/1980,1,2001
2005,Donovan McNabb,29,Chicago,IL,PHI,74,0,Syracuse,ACC,81,101,11/25/1976,1,1999
2009,LaDainian Tomlinson,30,Rosebud,TX,SDG,70,221,TCU,Big 12,138,49,6/23/1979,1,2001
2011,Matt Schaub,30,West Chester,PA,HOU,77,235,Virginia,ACC,90,95,6/25/1981,3,2004
2001,Chris Chandler,36,Everett,WA,ATL,76,224,Washington,Pac 12,86,98,10/12/1965,3,1988
2004,Kyle Boller,23,Burbank,CA,BAL,75,220,California,Pac 12,90,94,6/17/1981,1,2003
2011,Brandon Marshall,27,Pittsburgh,PA,MIA,76,229,Central Florida,American,99,86,3/23/1984,4,2006
2010,Jon Kitna,38,Tacoma,WA,DAL,74,0,Central Washington,Division II,#N/A,#N/A,9/21/1972,0,0
2000,Jon Kitna,28,Tacoma,WA,SEA,74,220,Central Washington,Division II,#N/A,#N/A,9/21/1972,0,0
2003,Joe Horn,31,New Haven,CT,NOR,73,206,Itawamba JC,Junior College,#N/A,#N/A,1/16/1972,5,0
2002,Tim Couch,25,Hyden,KY,CLE,76,220,Kentucky,SEC,71,110,7/31/1977,1,1999
2001,Tim Couch,24,Hyden,KY,CLE,76,220,Kentucky,SEC,71,110,7/31/1977,1,1999
2006,Jake Delhomme,31,Breaux Bridge,LA,CAR,74,0,La-Lafayette,Sun Belt,74,104,1/10/1975,0,0
2001,Troy Brown,30,Barnwell,SC,NWE,70,196,Marshall,Conference USA,107,80,7/2/1971,8,0
2010,Chad Henne,25,Wyomissing,PA,MIA,75,0,Michigan,Big Ten,124,64,7/2/1985,2,2008
2004,Derrick Mason,30,Detroit,MI,TEN,70,190,Michigan St.,Big Ten,112,76,1/17/1974,4,1997
2006,Plaxico Burress,29,Norfolk,VA,NYG,77,226,Michigan St.,Big Ten,112,76,8/12/1977,1,2000
2008,Vincent Jackson,25,Fort Polk,LA,SDG,77,241,Northern Colorado,Big Sky,#N/A,#N/A,1/14/1983,2,0
2000,David Boston,22,Humble,TX,ARI,74,240,Ohio St.,Big Ten,138,41,8/19/1978,1,1999
